NASA Surface meteorology and Solar Energy: Global Data
Monthly Averaged Insolation Clearness Index (0 to 1.0)

Monthly average for July 1983 - June 1993

Lat Lon Jan Feb Mar Apr May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
0 145 0.56 0.53 0.55 0.54 0.56 0.52 0.54 0.55 0.57 0.54 0.55 0.53
0 146 0.56 0.54 0.55 0.55 0.56 0.52 0.54 0.55 0.58 0.54 0.55 0.54
0 147 0.56 0.54 0.55 0.55 0.55 0.52 0.54 0.56 0.58 0.54 0.54 0.54
0 148 0.56 0.54 0.55 0.55 0.55 0.52 0.54 0.56 0.58 0.54 0.54 0.54
0 149 0.56 0.54 0.55 0.55 0.55 0.53 0.55 0.56 0.58 0.54 0.54 0.54
0 150 0.56 0.54 0.55 0.55 0.54 0.53 0.55 0.56 0.58 0.54 0.54 0.54
0 151 0.55 0.54 0.55 0.55 0.54 0.53 0.55 0.56 0.58 0.54 0.53 0.54
0 152 0.55 0.54 0.54 0.54 0.55 0.53 0.56 0.56 0.57 0.55 0.53 0.54
0 153 0.55 0.53 0.54 0.54 0.55 0.53 0.56 0.56 0.57 0.55 0.53 0.54
0 154 0.54 0.53 0.54 0.54 0.55 0.54 0.56 0.56 0.57 0.56 0.53 0.53
0 155 0.54 0.53 0.54 0.54 0.55 0.54 0.57 0.56 0.57 0.56 0.53 0.53
0 156 0.53 0.53 0.54 0.54 0.56 0.55 0.57 0.56 0.57 0.57 0.53 0.53
0 157 0.53 0.53 0.54 0.54 0.56 0.55 0.57 0.57 0.58 0.57 0.53 0.53
0 158 0.52 0.53 0.54 0.54 0.56 0.55 0.57 0.57 0.58 0.58 0.53 0.53
0 159 0.52 0.53 0.54 0.54 0.56 0.56 0.57 0.57 0.58 0.58 0.53 0.52
0 160 0.52 0.53 0.54 0.54 0.56 0.56 0.57 0.58 0.59 0.58 0.53 0.52
0 161 0.52 0.53 0.54 0.54 0.56 0.57 0.57 0.58 0.59 0.59 0.53 0.52
0 162 0.52 0.54 0.54 0.55 0.56 0.57 0.58 0.58 0.60 0.59 0.54 0.52
0 163 0.53 0.54 0.54 0.55 0.57 0.57 0.58 0.59 0.60 0.60 0.54 0.52
0 164 0.53 0.54 0.55 0.55 0.57 0.58 0.58 0.60 0.60 0.61 0.55 0.52
0 165 0.53 0.55 0.55 0.56 0.57 0.58 0.59 0.60 0.61 0.61 0.55 0.52
0 166 0.53 0.55 0.56 0.56 0.58 0.59 0.59 0.60 0.62 0.62 0.55 0.53
0 167 0.53 0.55 0.56 0.56 0.58 0.59 0.59 0.61 0.62 0.62 0.56 0.53
0 168 0.53 0.55 0.56 0.57 0.59 0.59 0.59 0.61 0.62 0.63 0.57 0.53
0 169 0.53 0.55 0.57 0.57 0.59 0.59 0.60 0.61 0.63 0.63 0.58 0.54
0 170 0.54 0.55 0.57 0.57 0.59 0.60 0.60 0.61 0.63 0.64 0.59 0.54
0 171 0.54 0.55 0.57 0.57 0.60 0.60 0.60 0.62 0.63 0.64 0.59 0.55
0 172 0.54 0.55 0.57 0.57 0.60 0.60 0.60 0.62 0.63 0.64 0.60 0.54
0 173 0.55 0.56 0.57 0.57 0.60 0.60 0.61 0.62 0.64 0.64 0.60 0.54
0 174 0.55 0.56 0.58 0.57 0.60 0.61 0.61 0.62 0.64 0.65 0.60 0.55
0 175 0.55 0.56 0.58 0.57 0.61 0.61 0.61 0.63 0.64 0.65 0.61 0.55
0 176 0.56 0.56 0.59 0.57 0.61 0.62 0.62 0.63 0.64 0.65 0.61 0.56
0 177 0.56 0.56 0.59 0.57 0.61 0.62 0.62 0.63 0.64 0.65 0.61 0.56
0 178 0.56 0.57 0.59 0.57 0.61 0.62 0.62 0.64 0.64 0.65 0.62 0.57
0 179 0.55 0.57 0.59 0.58 0.61 0.62 0.63 0.64 0.64 0.65 0.62 0.57
1 0 0.51 0.56 0.52 0.47 0.51 0.53 0.54 0.53 0.53 0.53 0.56 0.53
1 1 0.51 0.56 0.52 0.48 0.52 0.52 0.53 0.53 0.53 0.52 0.55 0.53
1 2 0.51 0.55 0.51 0.47 0.52 0.52 0.52 0.52 0.52 0.51 0.55 0.53
1 3 0.51 0.55 0.51 0.46 0.51 0.51 0.51 0.51 0.51 0.51 0.55 0.54
1 4 0.51 0.54 0.50 0.45 0.50 0.50 0.49 0.50 0.50 0.49 0.54 0.53
1 5 0.50 0.53 0.48 0.43 0.49 0.49 0.48 0.48 0.48 0.48 0.52 0.52
1 6 0.49 0.52 0.47 0.42 0.47 0.48 0.46 0.46 0.47 0.46 0.50 0.51
1 7 0.49 0.51 0.47 0.41 0.46 0.46 0.45 0.44 0.44 0.43 0.48 0.50
1 8 0.49 0.50 0.46 0.41 0.45 0.45 0.43 0.41 0.42 0.40 0.46 0.50
1 9 0.51 0.51 0.47 0.43 0.45 0.45 0.43 0.40 0.41 0.41 0.45 0.50
1 10 0.53 0.52 0.49 0.47 0.46 0.44 0.42 0.39 0.40 0.43 0.45 0.51
1 11 0.55 0.53 0.50 0.50 0.46 0.44 0.42 0.38 0.40 0.45 0.45 0.51
1 12 0.55 0.53 0.50 0.50 0.47 0.45 0.43 0.39 0.42 0.46 0.45 0.51
1 13 0.55 0.53 0.51 0.51 0.48 0.46 0.44 0.41 0.43 0.47 0.46 0.51
1 14 0.54 0.54 0.51 0.51 0.48 0.47 0.44 0.41 0.44 0.46 0.46 0.50
1 15 0.52 0.54 0.52 0.51 0.49 0.47 0.43 0.40 0.44 0.45 0.47 0.49
1 16 0.50 0.55 0.52 0.50 0.49 0.47 0.43 0.40 0.45 0.44 0.48 0.49
1 17 0.50 0.55 0.52 0.50 0.49 0.47 0.43 0.40 0.45 0.44 0.48 0.48
1 18 0.50 0.55 0.51 0.50 0.49 0.47 0.42 0.40 0.46 0.44 0.48 0.48
1 19 0.50 0.54 0.51 0.49 0.49 0.47 0.42 0.40 0.46 0.44 0.47 0.48
1 20 0.49 0.53 0.50 0.49 0.49 0.47 0.42 0.41 0.46 0.44 0.46 0.48
1 21 0.49 0.53 0.50 0.48 0.49 0.47 0.42 0.42 0.46 0.43 0.46 0.48
1 22 0.49 0.53 0.50 0.48 0.48 0.47 0.42 0.41 0.46 0.44 0.45 0.47
1 23 0.48 0.52 0.50 0.48 0.48 0.46 0.42 0.41 0.46 0.44 0.45 0.47
1 24 0.50 0.53 0.51 0.48 0.48 0.47 0.43 0.42 0.46 0.46 0.45 0.49
1 25 0.54 0.54 0.51 0.49 0.47 0.47 0.44 0.43 0.46 0.48 0.46 0.51
1 26 0.56 0.54 0.51 0.49 0.47 0.48 0.46 0.44 0.46 0.50 0.47 0.52
1 27 0.56 0.54 0.50 0.48 0.48 0.48 0.46 0.44 0.47 0.50 0.47 0.52
1 28 0.55 0.53 0.50 0.47 0.48 0.48 0.46 0.45 0.47 0.50 0.47 0.51
1 29 0.55 0.52 0.49 0.47 0.48 0.49 0.47 0.46 0.47 0.49 0.48 0.52
