<SIZE>674
<LANG>EN
<STATE>Texas,TX
Slaton,33.4373,-101.643
Snyder,32.7179,-100.918
Socorro,31.6546,-106.303
Socorro Mission Number 1 Colonia,31.6362,-106.291
Somerset,29.2264,-98.6578
Somerville,30.346,-96.5283
Sonora,30.5668,-100.643
Sour Lake,30.1402,-94.411
South Houston,29.663,-95.2355
South Toledo Bend,31.1532,-93.6046
Southlake,32.9412,-97.1342
Spearman,36.1984,-101.192
Spring,30.0799,-95.4172
Spur,33.4765,-100.856
Stafford,29.6161,-95.5577
Stamford,32.9454,-99.8029
Stanton,32.1293,-101.788
Stephenville,32.2207,-98.2023
Sterling City,31.8363,-100.985
Stonewall,30.236,-98.6645
Stratford,36.3361,-102.072
Strawn,32.5521,-98.4981
Streetman,31.8774,-96.325
Sudan,34.0679,-102.524
Sugar Land,29.6197,-95.6349
Sulphur Springs,33.1384,-95.6011
Sunray,36.0167,-101.825
Sweetwater,32.471,-100.406
Tahoka,33.1668,-101.794
Tatum,32.316,-94.5166
Taylor,30.5708,-97.4094
Temple,31.0982,-97.3428
Terrell,32.736,-96.2753
Terrell Hills,29.475,-98.4509
Texarkana,33.4251,-94.0477
Texas City,29.3838,-94.9027
Texhoma,36.4981,-101.783
Texline,36.3778,-103.024
The Colony,33.089,-96.8864
The Woodlands,30.158,-95.4894
Thorndale,30.6138,-97.2056
Throckmorton,33.1787,-99.1776
Timberwood Park,29.7058,-98.4783
Timpson,31.9038,-94.3952
Tomball,30.0972,-95.6161
Toyah,31.3149,-103.793
Trinity,30.9452,-95.3755
Trophy Club,32.9979,-97.1836
Tulia,34.5359,-101.759
Turkey,34.3926,-100.898
Tuscola,32.2096,-99.7968
Tyler,32.3513,-95.3011
Uncertain,32.7121,-94.1213
Universal City,29.548,-98.2911
University Park,32.8501,-96.8003
Utopia,29.6152,-99.527
Uvalde,29.2097,-99.7862
Valentine,30.5874,-104.497
Van,32.5249,-95.6372
Van Alstyne,33.4215,-96.5772
Van Horn,31.0399,-104.831
Vega,35.2428,-102.428
Vernon,34.1545,-99.2651
Victoria,28.8053,-97.0036
Vidor,30.1316,-94.0155
Waco,31.5493,-97.1467
Waelder,29.6952,-97.2986
Wake Village,33.4268,-94.1063
Waskom,32.4788,-94.0596
Watauga,32.8579,-97.2547
Waxahachie,32.3865,-96.8483
Weatherford,32.7593,-97.7973
Webster,29.5377,-95.1183
Wellington,34.8562,-100.214
Wells,31.4885,-94.9399
Wells Branch,30.446,-97.6795
Weslaco,26.1595,-97.9908
West Columbia,29.1439,-95.6452
West Livingston,30.6982,-95.0019
West Odessa,31.8423,-102.499
West Tawakoni,32.8937,-96.0294
West University Place,29.718,-95.4338
Westdale,27.9661,-97.9811
Wharton,29.3116,-96.1027
Wheeler,35.4453,-100.271
White Deer,35.4353,-101.173
White Oak,32.5279,-94.8613
White Settlement,32.7596,-97.4584
Whitehouse,32.2268,-95.2255
Whitesboro,33.6562,-96.9069
Wichita Falls,33.9137,-98.4934
Wills Point,32.7093,-96.0083
Windcrest,29.5155,-98.3803
Windemere,30.4591,-97.6492
Winnie,29.8202,-94.3841
Winnsboro,32.9573,-95.2902
Winters,31.9565,-99.9623
Woodson,33.0148,-99.0542
Woodville,30.7752,-94.4155
Woodway,31.506,-97.205
Wylie,33.0151,-96.5389
Yoakum,29.2877,-97.1519
Yorktown,28.9811,-97.5028
Zapata,26.9073,-99.2714
Zavalla,31.1585,-94.4263
