<SIZE>234
<LANG>EN,FR,DE,IT
<STATE>Zürich,ZH
Sandbüel,Sandbüel,Sandbüel,Sandbüel,47.3,8.8
Schachen,Schachen,Schachen,Schachen,47.3,8.5
Scheuren,Scheuren,Scheuren,Scheuren,47.3,8.7
Schibler,Schibler,Schibler,Schibler,47.5,8.5
Schottikon,Schottikon,Schottikon,Schottikon,47.5,8.8
Schwerzenbach,Schwerzenbach,Schwerzenbach,Schwerzenbach,47.4,8.7
Schönenberg,Schönenberg,Schönenberg,Schönenberg,47.2,8.6
Seeb,Seeb,Seeb,Seeb,47.5,8.5
Seen (Kreis 3),Seen (Kreis 3),Seen (Kreis 3),Seen (Kreis 3),47.5,8.8
Seglingen,Seglingen,Seglingen,Seglingen,47.6,8.5
Sennhof-Oberhub,Sennhof-Oberhub,Sennhof-Oberhub,Sennhof-Oberhub,47.3,8.6
Seuzach Dorf,Seuzach Dorf,Seuzach Dorf,Seuzach Dorf,47.5,8.7
Sonnhalde,Sonnhalde,Sonnhalde,Sonnhalde,47.5,8.5
Stadel,Stadel,Stadel,Stadel,47.5,8.5
Stadt Winterthur (Kreis 1),Stadt Winterthur (Kreis 1),Stadt Winterthur (Kreis 1),Stadt Winterthur (Kreis 1),47.5,8.7
Stallikon,Stallikon,Stallikon,Stallikon,47.3,8.5
Steinmaur,Steinmaur,Steinmaur,Steinmaur,47.5,8.5
Stäfa,Stäfa,Stäfa,Stäfa,47.2,8.7
Sulz,Sulz,Sulz,Sulz,47.5,8.8
Tagelswangen,Tagelswangen,Tagelswangen,Tagelswangen,47.4,8.7
Thalheim,Thalheim,Thalheim,Thalheim,47.6,8.8
Trockenloo,Trockenloo,Trockenloo,Trockenloo,47.4,8.5
Truttikon,Truttikon,Truttikon,Truttikon,47.6,8.7
Trüllikon,Trüllikon,Trüllikon,Trüllikon,47.6,8.7
Turbenthal,Turbenthal,Turbenthal,Turbenthal,47.4,8.8
Tössallmänt,Tössallmänt,Tössallmänt,Tössallmänt,47.5,8.7
Uelikon,Uelikon,Uelikon,Uelikon,47.2,8.7
Uerikon,Uerikon,Uerikon,Uerikon,47.2,8.8
Uerzlikon,Uerzlikon,Uerzlikon,Uerzlikon,47.2,8.5
Unter-Ottikon,Unter-Ottikon,Unter-Ottikon,Unter-Ottikon,47.3,8.8
Unter-Schwanden,Unter-Schwanden,Unter-Schwanden,Unter-Schwanden,47.2,8.7
Unterdorf,Unterdorf,Unterdorf,Unterdorf,47.6,8.6
Unterengstringen,Unterengstringen,Unterengstringen,Unterengstringen,47.4,8.4
Unterstammheim,Unterstammheim,Unterstammheim,Unterstammheim,47.6,8.8
Usserdorf,Usserdorf,Usserdorf,Usserdorf,47.4,8.5
Uster,Uster,Uster,Uster,47.3,8.7
Volken,Volken,Volken,Volken,47.6,8.6
Wald,Wald,Wald,Wald,47.3,8.9
Wallisellen,Wallisellen,Wallisellen,Wallisellen,47.4,8.6
Waltalingen,Waltalingen,Waltalingen,Waltalingen,47.6,8.8
Wangen,Wangen,Wangen,Wangen,47.4,8.6
Wasterkingen,Wasterkingen,Wasterkingen,Wasterkingen,47.6,8.5
Weiach,Weiach,Weiach,Weiach,47.6,8.4
Weiningen,Weiningen,Weiningen,Weiningen,47.4,8.4
Weisslingen,Weisslingen,Weisslingen,Weisslingen,47.4,8.8
